ville,insee,aqi_moyen
Marseille,13055,30.5
Lyon,69055,30.3
Paris,75055,28.4
Toulouse,31555,26.8
Nice,06088,27.7
Nantes,44109,27.5
Montpellier,34172,27.5
Strasbourg,67482,29.5
Bordeaux,33063,27.3
Lille,59350,28.2
Rennes,35238,26.5
Toulon,83137,29.9
Reims,51454,26.7
Saint-Étienne,42218,
Le Havre,76351,27.1
Villeurbanne,69266,30.3
Dijon,21231,27.1
Angers,49007,27.1
Grenoble,38185,29.8
Saint-Denis,974411,
Nîmes,30189,29.1
Aix-en-Provence,13001,29.4
Saint-Denis,93066,28.5
Clermont-Ferrand,63113,26.8
Le Mans,72181,26.5
Brest,29019,27.6
Tours,37261,26.9
Amiens,80021,26.1
Annecy,74010,27.8
Limoges,87085,26.0
Metz,57463,27.7
Perpignan,66136,28.3
Boulogne-Billancourt,92012,28.3
Besançon,25056,28.6
Rouen,76540,28.1
Orléans,45234,26.6
Montreuil,93048,27.9
Caen,14118,26.7
Saint-Paul,974415,
Argenteuil,95018,28.7
Mulhouse,68224,29.7
Nancy,54395,27.8
Tourcoing,59599,28.2
Roubaix,59512,28.2
Nanterre,92050,28.3
Vitry-sur-Seine,94081,27.8
Asnières-sur-Seine,92004,
Créteil,94028,27.9
Avignon,84007,30.1
Colombes,92025,28.7
Poitiers,86194,26.2
Aubervilliers,93001,28.5
Aulnay-sous-Bois,93005,28.1
Dunkerque,59183,29.0
Saint-Pierre,974416,
Versailles,78646,28.3
Courbevoie,92026,28.7
Rueil-Malmaison,92063,28.3
Le Tampon,974422,
Béziers,34032,27.3
Pau,64445,26.3
La Rochelle,17300,27.5
Cherbourg-en-Cotentin,50129,
Mérignac,33281,27.6
Champigny-sur-Marne,94017,27.9
Antibes,06004,31.1
Saint-Maur-des-Fossés,94068,27.9
Ajaccio,2A004,30.9
Fort-de-France,972209,
Saint-Nazaire,44184,28.7
Cannes,06029,30.4
Noisy-le-Grand,93051,27.9
Drancy,93029,28.1
Cergy,95127,27.8
Levallois-Perret,92044,28.3
Issy-les-Moulineaux,92040,28.3
Calais,62193,27.1
Pessac,33318,27.6
Colmar,68066,28.8
Évry-Courcouronnes,91228,
Vénissieux,69259,30.3
Ivry-sur-Seine,94041,28.4
Valence,26362,29.4
Clichy,92024,28.5
Quimper,29232,27.5
Antony,92002,27.9
Bourges,18033,25.7
La Seyne-sur-Mer,83126,31.3
Montauban,82121,26.1
Villeneuve-d'Ascq,59009,
Cayenne,973302,
Le Blanc-Mesnil,93007,28.1
Troyes,10387,25.6
Pantin,93055,27.9
Villejuif,94076,27.8
Chambéry,73065,29.7
Niort,79191,25.4
Fréjus,83061,31.3
Neuilly-sur-Seine,92051,28.3
Sarcelles,95585,28.5
Saint-André,974409,
Clamart,92023,27.9
Lorient,56121,27.7
Narbonne,11262,28.4
Bobigny,93008,28.1
Meaux,77284,26.8
Maisons-Alfort,94046,27.9
Hyères,83069,33.3
Vannes,56260,27.6
Beauvais,60057,26.7
Saint-Louis,974414,
La Roche-sur-Yon,85191,26.8
Chelles,77108,27.9
Corbeil-Essonnes,91174,
Saint-Laurent-du-Maroni,973311,
Cholet,49099,26.6
Bayonne,64102,26.3
Fontenay-sous-Bois,94033,27.9
Saint-Ouen-sur-Seine,93070,
Cagnes-sur-Mer,06027,29.4
Vaulx-en-Velin,69256,29.7
Épinay-sur-Seine,93031,28.5
Saint-Quentin,02691,26.2
Sartrouville,78586,29.1
Sevran,93071,27.8
Arles,13004,30.1
Massy,91377,27.9
Albi,81004,25.8
Les Abymes,971101,
Gennevilliers,92036,28.7
Saint-Herblain,44162,27.6
Grasse,06069,29.6
Bondy,93010,28.1
Les Sables-d'Olonne,85194,27.9
Laval,53130,26.4
Évreux,27229,26.9
Saint-Priest,69290,29.6
Suresnes,92073,28.3
Martigues,13056,31.0
Vincennes,94080,27.9
Aubagne,13005,30.1
Saint-Malo,35288,28.1
Livry-Gargan,93046,27.8
Blois,41018,26.6
Rosny-sous-Bois,93064,27.9
La Courneuve,93027,28.1
Brive-la-Gaillarde,19031,25.0
Bastia,2B033,31.6
Talence,33522,27.3
Meudon,92048,28.3
Montrouge,92049,28.4
Alès,30007,26.7
Carcassonne,11069,27.2
Melun,77288,27.1
Choisy-le-Roi,94022,27.9
Saint-Germain-en-Laye,78551,28.3
Belfort,90010,28.7
Charleville-Mézières,08105,
Alfortville,94002,27.9
Noisy-le-Sec,93053,27.9
Sète,34301,30.4
Chalon-sur-Saône,71076,27.8
Bagneux,92007,28.4
Tarbes,65440,26.4
Saint-Brieuc,22278,27.0
Istres,13047,30.2
Salon-de-Provence,13103,29.6
Puteaux,92062,28.3
Caluire-et-Cuire,69034,30.3
Rezé,44143,27.4
Mantes-la-Jolie,78361,
Valenciennes,59606,28.0
Anglet,64024,26.7
Bagnolet,93006,27.9
Bron,69029,29.7
Châlons-en-Champagne,51108,
Châteauroux,36044,26.0
Arras,62041,26.9
Thionville,57672,27.8
Villenave-d'Ornon,33550,26.8
Castres,81065,26.6
Bourg-en-Bresse,01053,
Gagny,93032,27.9
Le Cannet,06030,30.4
Angoulême,16015,25.3
Garges-lès-Gonesse,95268,28.1
Villepinte,93078,27.8
Stains,93072,28.5
Gap,05061,25.2
Poissy,78498,28.3
Colomiers,31149,26.9
Wattrelos,59650,28.1
Draguignan,83050,29.0
Compiègne,60159,27.1
Montélimar,26198,28.5
Boulogne-sur-Mer,62160,27.5
Douai,59178,27.5
Marcq-en-Barœul,59378,28.2
Neuilly-sur-Marne,93050,27.9
Le Lamentin,972213,
Saint-Joseph,974412,
Pontault-Combault,77373,27.4
Saint-Benoît,974410,
La Ciotat,13028,30.9
Joué-lès-Tours,37122,26.9
Tremblay-en-France,93073,
Chartres,28085,26.6
Oullins-Pierre-Bénite,69149,30.3
Thonon-les-Bains,74281,28.0
Franconville,95252,28.7
Saint-Martin-d'Hères,38421,29.8
Annemasse,74012,28.3
Savigny-sur-Orge,91589,27.8
Échirolles,38151,29.8
Palaiseau,91477,27.9
Romainville,93063,27.9
Saint-Raphaël,83118,31.4
Six-Fours-les-Plages,83129,
Sainte-Marie,974418,
Conflans-Sainte-Honorine,78172,28.3
Vitrolles,13117,30.2
Châtillon,92020,28.3
Meyzieu,69282,28.9
Athis-Mons,91027,27.8
La Possession,974408,
Matoury,973307,
Bezons,95063,28.7
Haguenau,67180,28.7
Creil,60175,27.8
Villeneuve-Saint-Georges,94078,27.9
Villefranche-sur-Saône,69264,28.9
Saint-Leu,974413,
Châtenay-Malabry,92019,27.9
Saint-Chamond,42207,28.4
Sainte-Geneviève-des-Bois,91549,27.8
Roanne,42187,26.8
Le Perreux-sur-Marne,94058,27.9
Mâcon,71270,28.2
Auxerre,89024,26.2
Schiltigheim,67447,29.2
Trappes,78621,28.0
Les Mureaux,78440,27.9
Houilles,78311,29.1
Le Port,974407,
Marignane,13054,30.2
Romans-sur-Isère,26281,29.2
Villiers-sur-Marne,94079,27.9
Montluçon,03185,25.9
Nevers,58194,26.2
Lens,62498,27.9
Thiais,94073,27.8
Saint-Médard-en-Jalles,33449,27.3
Agen,47001,25.8
Montigny-le-Bretonneux,78423,28.0
Nogent-sur-Marne,94052,27.9
Aix-les-Bains,73008,28.8
Épinal,88160,26.6
Saint-Laurent-du-Var,06123,29.4
Pontoise,95500,27.8
Bègles,33039,26.8
Plaisir,78490,27.9
Herblay-sur-Seine,95306,
Vienne,38544,29.6
Carpentras,84031,27.8
Mont-de-Marsan,40192,25.2
Dreux,28134,26.9
Vigneux-sur-Seine,91657,27.9
Rillieux-la-Pape,69286,
Goussainville,95280,
Ris-Orangis,91521,
L' Haÿ-les-Roses,94038,27.8
Saint-Martin,978801,
Savigny-le-Temple,77445,27.3
Cambrai,59122,26.7
Cachan,94016,27.8
Châtellerault,86066,26.1
Baie-Mahault,971103,
Viry-Châtillon,91687,27.8
Le Chesnay-Rocquencourt,78158,28.3
Menton,06083,29.2
Chatou,78146,28.3
Malakoff,92046,28.3
La Garenne-Colombes,92035,28.7
Tournefeuille,31557,26.8
Bourgoin-Jallieu,38053,
Draveil,91201,
Liévin,62510,27.9
Villiers-le-Bel,95680,27.6
Vandœuvre-lès-Nancy,54547,27.8
Agde,34003,29.5
Décines-Charpieu,69275,29.7
Saint-Cloud,92064,28.3
Villemomble,93077,27.9
Guyancourt,78297,28.0
Orange,84087,29.2
Fresnes,94034,27.8
Saint-Étienne-du-Rouvray,76575,27.7
Ermont,95219,28.7
Clichy-sous-Bois,93014,27.8
Vallauris,06155,30.4
Périgueux,24322,25.8
Sotteville-lès-Rouen,76681,28.1
Bois-Colombes,92009,28.7
Le Plessis-Robinson,92060,27.9
Charenton-le-Pont,94018,27.9
Maubeuge,59392,27.5
Montfermeil,93047,27.9
Vanves,92075,28.3
Saint-Sébastien-sur-Loire,44190,27.2
Orvault,44114,27.6
Dieppe,76217,28.0
Soissons,02722,26.4
Yerres,91691,27.9
Illkirch-Graffenstaden,67218,29.5
Sucy-en-Brie,94071,27.8
Le Gosier,971113,
Rambouillet,78517,27.5
Remire-Montjoly,973309,
Gonesse,95277,28.1
Blagnac,31069,26.9
Taverny,95607,28.2
La Teste-de-Buch,33529,
Bussy-Saint-Georges,77058,27.2
Champs-sur-Marne,77083,
Limeil-Brévannes,94044,27.9
Cormeilles-en-Parisis,95176,28.7
Bergerac,24037,25.8
Sens,89387,25.9
Lambersart,59328,28.2
Armentières,59017,28.0
Gradignan,33192,27.0
Villeparisis,77514,27.2
Sannois,95582,28.7
Étampes,91223,
Grigny,91286,27.8
Cenon,33119,27.3
Brétigny-sur-Orge,91103,
Lunel,34145,27.9
La Garde,83062,29.9
Élancourt,78208,28.0
Saumur,49328,26.8
Vertou,44215,27.1
Aurillac,15014,26.1
Eaubonne,95203,28.7
Biarritz,64122,26.7
Miramas,13063,30.1
Muret,31395,26.3
Castelnau-le-Lez,34057,27.4
Villeneuve-la-Garenne,92078,28.5
Les Ulis,91692,27.7
Les Pavillons-sous-Bois,93057,27.8
Sèvremoine,49301,26.6
Le Grand-Quevilly,76322,28.1
Lormont,33249,27.3
Hénin-Beaumont,62427,
Brunoy,91114,
Cavaillon,84035,28.8
Saint-Ouen-l'Aumône,95572,28.2
Sainte-Suzanne,974420,
Alençon,61001,26.6
Saintes,17415,25.6
Vernon,27681,27.0
Béthune,62119,28.0
Vichy,03310,26.2
Le Bouscat,33069,27.6
Vierzon,18279,26.2
Libourne,33243,26.2
Eysines,33162,27.6
Kourou,973304,
Montbéliard,25388,28.5
Petit-Bourg,971118,
Orly,94054,27.9
Laon,02408,26.6
Frontignan,34108,28.8
Le Kremlin-Bicêtre,94043,28.4
Couëron,44047,27.6
Fontenay-aux-Roses,92032,27.9
Montgeron,91421,27.9
Beaupréau-en-Mauges,49023,26.6
Rodez,12202,26.5
Sainte-Anne,971128,
Les Lilas,93045,27.9
Dole,39198,27.9
La Valette-du-Var,83144,29.9
Dammarie-les-Lys,77152,27.1
Olivet,45232,26.6
Hérouville-Saint-Clair,14327,
Rochefort,17299,26.4
Combs-la-Ville,77122,27.4
Lanester,56098,27.7
Roissy-en-Brie,77390,
Tassin-la-Demi-Lune,69244,29.3
Saint-Jean-de-Braye,45284,26.5
Deuil-la-Barre,95197,28.5
Maisons-Laffitte,78358,29.1
Le Moule,971117,
Vélizy-Villacoublay,78640,27.9
Challans,85047,27.5
Saint-Dizier,52448,26.6
Torcy,77468,27.7
Saint-Louis,68297,28.1
Manosque,04112,27.8
Loos,59360,28.2
Gif-sur-Yvette,91272,27.7
Les Pennes-Mirabeau,13071,29.9
Oyonnax,01283,27.7
Montigny-lès-Cormeilles,95424,29.1
Auch,32013,25.8
Abbeville,80001,26.8
Villeneuve-sur-Lot,47323,25.4
Mantes-la-Ville,78362,27.6
Sèvres,92072,28.3
Montereau-Fault-Yonne,77305,
Achères,78005,29.1
Le Petit-Quevilly,76498,28.1
Arcueil,94003,28.4
Épernay,51230,26.7
Gujan-Mestras,33199,27.3
Dax,40088,26.1
Millau,12145,26.4
Fontaine,38169,27.9
