Code commune;Nom de la commune;Dep_nbAlternance_2026-Janv;Dep_nb_etudiants_total;Dep_alternance_par_10etudiants_2026
13055;Marseille;22405;107406;2,1
69123;Lyon;30285;175675;1,7
75056;Paris;66382;409323;1,6
31555;Toulouse;17816;116597;1,5
06088;Nice;10320;45702;2,3
44109;Nantes;14785;70652;2,1
34172;Montpellier;12599;88033;1,4
67482;Strasbourg;12036;71259;1,7
33063;Bordeaux;17653;107876;1,6
59350;Lille;23707;158871;1,5
35238;Rennes;12130;73641;1,7
83137;Toulon;6338;17210;3,7
51454;Reims;4723;33156;1,4
42218;Saint-Étienne;6199;25401;2,4
76351;Le Havre;10563;58309;1,8
69266;Villeurbanne;30285;175675;1,7
21231;Dijon;5412;37841;1,4
49007;Angers;7099;50385;1,4
38185;Grenoble;11637;56201;2,1
974411;Saint-Denis;6513;;0
30189;Nîmes;4836;15979;3
13001;Aix-en-Provence;22405;107406;2,1
93066;Saint-Denis;18573;48811;3,8
63113;Clermont-Ferrand;4966;29476;1,7
72181;Le Mans;4152;15152;2,7
29019;Brest;6320;32140;2
37261;Tours;5278;34230;1,5
80021;Amiens;4229;31272;1,4
74010;Annecy;6207;9306;6,7
87085;Limoges;2216;19914;1,1
57463;Metz;6879;24390;2,8
66136;Perpignan;2968;9502;3,1
92012;Boulogne-Billancourt;43697;107876;4,1
25056;Besançon;4481;27245;1,6
76540;Rouen;10563;58309;1,8
45234;Orléans;5307;20886;2,5
93048;Montreuil;18573;48811;3,8
14118;Caen;6248;38757;1,6
974415;Saint-Paul;6513;;0
95018;Argenteuil;10438;32635;3,2
68224;Mulhouse;5695;14696;3,9
54395;Nancy;5776;46194;1,3
59599;Tourcoing;23707;158871;1,5
59512;Roubaix;23707;158871;1,5
92050;Nanterre;43697;107876;4,1
94081;Vitry-sur-Seine;15265;69863;2,2
92004;Asnières-sur-Seine;43697;107876;4,1
94028;Créteil;15265;69863;2,2
84007;Avignon;4270;11364;3,8
92025;Colombes;43697;107876;4,1
86194;Poitiers;2802;29369;1
93001;Aubervilliers;18573;48811;3,8
93005;Aulnay-sous-Bois;18573;48811;3,8
59183;Dunkerque;23707;158871;1,5
974416;Saint-Pierre;6513;;0
78646;Versailles;15694;37990;4,1
92026;Courbevoie;43697;107876;4,1
92063;Rueil-Malmaison;43697;107876;4,1
974422;Le Tampon;6513;;0
34032;Béziers;12599;88033;1,4
64445;Pau;4810;18781;2,6
17300;La Rochelle;3579;15389;2,3
50129;Cherbourg-en-Cotentin;3612;2015;17,9
33281;Mérignac;17653;107876;1,6
94017;Champigny-sur-Marne;15265;69863;2,2
06004;Antibes;10320;45702;2,3
94068;Saint-Maur-des-Fossés;15265;69863;2,2
2A004;Ajaccio;765;627;12,2
972209;Fort-de-France;1839;;0
44184;Saint-Nazaire;14785;70652;2,1
06029;Cannes;10320;45702;2,3
93051;Noisy-le-Grand;18573;48811;3,8
93029;Drancy;18573;48811;3,8
95127;Cergy;10438;32635;3,2
92044;Levallois-Perret;43697;107876;4,1
92040;Issy-les-Moulineaux;43697;107876;4,1
62193;Calais;7770;25248;3,1
33318;Pessac;17653;107876;1,6
68066;Colmar;5695;14696;3,9
91228;Évry-Courcouronnes;12594;40304;3,1
69259;Vénissieux;30285;175675;1,7
94041;Ivry-sur-Seine;15265;69863;2,2
26362;Valence;4464;8353;5,3
92024;Clichy;43697;107876;4,1
29232;Quimper;6320;32140;2
92002;Antony;43697;107876;4,1
18033;Bourges;1617;4246;3,8
83126;La Seyne-sur-Mer;6338;17210;3,7
82121;Montauban;1432;1952;7,3
59009;Villeneuve-d'Ascq;23707;158871;1,5
973302;Cayenne;996;;0
93007;Le Blanc-Mesnil;18573;48811;3,8
10387;Troyes;1842;8687;2,1
93055;Pantin;18573;48811;3,8
94076;Villejuif;15265;69863;2,2
73065;Chambéry;3705;7132;5,2
79191;Niort;2623;2916;9
83061;Fréjus;6338;17210;3,7
92051;Neuilly-sur-Seine;43697;107876;4,1
95585;Sarcelles;10438;32635;3,2
974409;Saint-André;6513;;0
92023;Clamart;43697;107876;4,1
56121;Lorient;4752;14953;3,2
11262;Narbonne;1838;3834;4,8
93008;Bobigny;18573;48811;3,8
77284;Meaux;11306;21473;5,3
94046;Maisons-Alfort;15265;69863;2,2
83069;Hyères;6338;17210;3,7
56260;Vannes;4752;14953;3,2
60057;Beauvais;5353;12083;4,4
974414;Saint-Louis;6513;;0
85191;La Roche-sur-Yon;5412;7395;7,3
77108;Chelles;11306;21473;5,3
91174;Corbeil-Essonnes;12594;40304;3,1
973311;Saint-Laurent-du-Maroni;996;;0
49099;Cholet;7099;50385;1,4
64102;Bayonne;4810;18781;2,6
94033;Fontenay-sous-Bois;15265;69863;2,2
93070;Saint-Ouen-sur-Seine;18573;48811;3,8
06027;Cagnes-sur-Mer;10320;45702;2,3
69256;Vaulx-en-Velin;30285;175675;1,7
93031;Épinay-sur-Seine;18573;48811;3,8
02691;Saint-Quentin;2217;4884;4,5
78586;Sartrouville;15694;37990;4,1
93071;Sevran;18573;48811;3,8
13004;Arles;22405;107406;2,1
91377;Massy;12594;40304;3,1
81004;Albi;2046;8101;2,5
971101;Les Abymes;2464;;0
92036;Gennevilliers;43697;107876;4,1
44162;Saint-Herblain;14785;70652;2,1
06069;Grasse;10320;45702;2,3
93010;Bondy;18573;48811;3,8
85194;Les Sables-d'Olonne;5412;7395;7,3
53130;Laval;2720;4337;6,3
27229;Évreux;3503;3719;9,4
69290;Saint-Priest;30285;175675;1,7
92073;Suresnes;43697;107876;4,1
13056;Martigues;22405;107406;2,1
94080;Vincennes;15265;69863;2,2
13005;Aubagne;22405;107406;2,1
35288;Saint-Malo;12130;73641;1,7
93046;Livry-Gargan;18573;48811;3,8
41018;Blois;2121;2980;7,1
93064;Rosny-sous-Bois;18573;48811;3,8
93027;La Courneuve;18573;48811;3,8
19031;Brive-la-Gaillarde;1192;1576;7,6
2B033;Bastia;702;785;8,9
33522;Talence;17653;107876;1,6
92048;Meudon;43697;107876;4,1
92049;Montrouge;43697;107876;4,1
30007;Alès;4836;15979;3
11069;Carcassonne;1838;3834;4,8
77288;Melun;11306;21473;5,3
94022;Choisy-le-Roi;15265;69863;2,2
78551;Saint-Germain-en-Laye;15694;37990;4,1
90010;Belfort;977;3784;2,6
08105;Charleville-Mézières;1085;1912;5,7
94002;Alfortville;15265;69863;2,2
93053;Noisy-le-Sec;18573;48811;3,8
34301;Sète;12599;88033;1,4
71076;Chalon-sur-Saône;3313;4247;7,8
92007;Bagneux;43697;107876;4,1
65440;Tarbes;1269;5350;2,4
22278;Saint-Brieuc;3514;5851;6
13047;Istres;22405;107406;2,1
13103;Salon-de-Provence;22405;107406;2,1
92062;Puteaux;43697;107876;4,1
69034;Caluire-et-Cuire;30285;175675;1,7
44143;Rezé;14785;70652;2,1
78361;Mantes-la-Jolie;15694;37990;4,1
59606;Valenciennes;23707;158871;1,5
64024;Anglet;4810;18781;2,6
93006;Bagnolet;18573;48811;3,8
69029;Bron;30285;175675;1,7
51108;Châlons-en-Champagne;4723;33156;1,4
36044;Châteauroux;1155;1888;6,1
62041;Arras;7770;25248;3,1
57672;Thionville;6879;24390;2,8
33550;Villenave-d'Ornon;17653;107876;1,6
81065;Castres;2046;8101;2,5
01053;Bourg-en-Bresse;4354;2833;15,4
93032;Gagny;18573;48811;3,8
06030;Le Cannet;10320;45702;2,3
16015;Angoulême;2001;2270;8,8
95268;Garges-lès-Gonesse;10438;32635;3,2
93078;Villepinte;18573;48811;3,8
93072;Stains;18573;48811;3,8
05061;Gap;571;1008;5,7
78498;Poissy;15694;37990;4,1
31149;Colomiers;17816;116597;1,5
59650;Wattrelos;23707;158871;1,5
83050;Draguignan;6338;17210;3,7
60159;Compiègne;5353;12083;4,4
26198;Montélimar;4464;8353;5,3
62160;Boulogne-sur-Mer;7770;25248;3,1
59178;Douai;23707;158871;1,5
59378;Marcq-en-Barœul;23707;158871;1,5
93050;Neuilly-sur-Marne;18573;48811;3,8
972213;Le Lamentin;1839;;0
974412;Saint-Joseph;6513;;0
77373;Pontault-Combault;11306;21473;5,3
974410;Saint-Benoît;6513;;0
13028;La Ciotat;22405;107406;2,1
37122;Joué-lès-Tours;5278;34230;1,5
93073;Tremblay-en-France;18573;48811;3,8
28085;Chartres;2640;2591;10,2
69149;Oullins-Pierre-Bénite;30285;175675;1,7
74281;Thonon-les-Bains;6207;9306;6,7
95252;Franconville;10438;32635;3,2
38421;Saint-Martin-d'Hères;11637;56201;2,1
74012;Annemasse;6207;9306;6,7
91589;Savigny-sur-Orge;12594;40304;3,1
38151;Échirolles;11637;56201;2,1
91477;Palaiseau;12594;40304;3,1
93063;Romainville;18573;48811;3,8
83118;Saint-Raphaël;6338;17210;3,7
83129;Six-Fours-les-Plages;6338;17210;3,7
974418;Sainte-Marie;6513;;0
78172;Conflans-Sainte-Honorine;15694;37990;4,1
13117;Vitrolles;22405;107406;2,1
92020;Châtillon;43697;107876;4,1
69282;Meyzieu;30285;175675;1,7
91027;Athis-Mons;12594;40304;3,1
974408;La Possession;6513;;0
973307;Matoury;996;;0
95063;Bezons;10438;32635;3,2
67180;Haguenau;12036;71259;1,7
60175;Creil;5353;12083;4,4
94078;Villeneuve-Saint-Georges;15265;69863;2,2
69264;Villefranche-sur-Saône;30285;175675;1,7
974413;Saint-Leu;6513;;0
92019;Châtenay-Malabry;43697;107876;4,1
42207;Saint-Chamond;6199;25401;2,4
91549;Sainte-Geneviève-des-Bois;12594;40304;3,1
42187;Roanne;6199;25401;2,4
94058;Le Perreux-sur-Marne;15265;69863;2,2
71270;Mâcon;3313;4247;7,8
89024;Auxerre;1458;1910;7,6
67447;Schiltigheim;12036;71259;1,7
78621;Trappes;15694;37990;4,1
78440;Les Mureaux;15694;37990;4,1
78311;Houilles;15694;37990;4,1
974407;Le Port;6513;;0
13054;Marignane;22405;107406;2,1
26281;Romans-sur-Isère;4464;8353;5,3
94079;Villiers-sur-Marne;15265;69863;2,2
03185;Montluçon;1644;2852;5,8
58194;Nevers;862;2402;3,6
62498;Lens;7770;25248;3,1
94073;Thiais;15265;69863;2,2
33449;Saint-Médard-en-Jalles;17653;107876;1,6
47001;Agen;2004;3749;5,4
78423;Montigny-le-Bretonneux;15694;37990;4,1
94052;Nogent-sur-Marne;15265;69863;2,2
73008;Aix-les-Bains;3705;7132;5,2
88160;Épinal;2003;2294;8,7
06123;Saint-Laurent-du-Var;10320;45702;2,3
95500;Pontoise;10438;32635;3,2
33039;Bègles;17653;107876;1,6
78490;Plaisir;15694;37990;4,1
95306;Herblay-sur-Seine;10438;32635;3,2
38544;Vienne;11637;56201;2,1
84031;Carpentras;4270;11364;3,8
40192;Mont-de-Marsan;2105;2410;8,7
28134;Dreux;2640;2591;10,2
91657;Vigneux-sur-Seine;12594;40304;3,1
69286;Rillieux-la-Pape;30285;175675;1,7
95280;Goussainville;10438;32635;3,2
91521;Ris-Orangis;12594;40304;3,1
94038;L' Haÿ-les-Roses;15265;69863;2,2
978801;Saint-Martin;;;0
77445;Savigny-le-Temple;11306;21473;5,3
59122;Cambrai;23707;158871;1,5
94016;Cachan;15265;69863;2,2
86066;Châtellerault;2802;29369;1
971103;Baie-Mahault;2464;;0
91687;Viry-Châtillon;12594;40304;3,1
78158;Le Chesnay-Rocquencourt;15694;37990;4,1
06083;Menton;10320;45702;2,3
78146;Chatou;15694;37990;4,1
92046;Malakoff;43697;107876;4,1
92035;La Garenne-Colombes;43697;107876;4,1
31557;Tournefeuille;17816;116597;1,5
38053;Bourgoin-Jallieu;11637;56201;2,1
91201;Draveil;12594;40304;3,1
62510;Liévin;7770;25248;3,1
95680;Villiers-le-Bel;10438;32635;3,2
54547;Vandœuvre-lès-Nancy;5776;46194;1,3
34003;Agde;12599;88033;1,4
69275;Décines-Charpieu;30285;175675;1,7
92064;Saint-Cloud;43697;107876;4,1
93077;Villemomble;18573;48811;3,8
