Code commune;Nom de la commune;age moyen
13055;Marseille;40,8
69123;Lyon;37,6
75056;Paris;40,5
31555;Toulouse;36,4
06088;Nice;43,3
44109;Nantes;37,2
34172;Montpellier;36,9
67482;Strasbourg;37,1
33063;Bordeaux;38
59350;Lille;34,5
35238;Rennes;36,7
83137;Toulon;43,4
51454;Reims;38,5
42218;Saint-Étienne;40,5
76351;Le Havre;41,1
69266;Villeurbanne;36,4
21231;Dijon;39,4
49007;Angers;38,4
38185;Grenoble;37,4
974411;Saint-Denis;
30189;Nîmes;41,5
13001;Aix-en-Provence;40,9
93066;Saint-Denis;35,1
63113;Clermont-Ferrand;38
72181;Le Mans;41,6
29019;Brest;39,3
37261;Tours;39,5
80021;Amiens;37,8
74010;Annecy;41,7
87085;Limoges;41,9
57463;Metz;39,4
66136;Perpignan;42
92012;Boulogne-Billancourt;40,4
25056;Besançon;39,3
76540;Rouen;36,8
45234;Orléans;38,2
93048;Montreuil;37,6
14118;Caen;39,4
974415;Saint-Paul;
95018;Argenteuil;37
68224;Mulhouse;38,7
54395;Nancy;37,1
59599;Tourcoing;36,6
59512;Roubaix;34,6
92050;Nanterre;36,5
94081;Vitry-sur-Seine;37,7
92004;Asnières-sur-Seine;36,5
94028;Créteil;37,4
84007;Avignon;39,8
92025;Colombes;37,1
86194;Poitiers;37
93001;Aubervilliers;35,2
93005;Aulnay-sous-Bois;36,5
59183;Dunkerque;42,5
974416;Saint-Pierre;
78646;Versailles;40,2
92026;Courbevoie;39,1
92063;Rueil-Malmaison;39,8
974422;Le Tampon;
34032;Béziers;42,7
64445;Pau;42,7
17300;La Rochelle;43,3
50129;Cherbourg-en-Cotentin;42,9
33281;Mérignac;40,2
94017;Champigny-sur-Marne;37,9
06004;Antibes;46,3
94068;Saint-Maur-des-Fossés;42,6
2A004;Ajaccio;
972209;Fort-de-France;
44184;Saint-Nazaire;43,7
06029;Cannes;47,8
93051;Noisy-le-Grand;36,9
93029;Drancy;37
95127;Cergy;32,6
92044;Levallois-Perret;38
92040;Issy-les-Moulineaux;38,6
62193;Calais;40,3
33318;Pessac;39,4
68066;Colmar;42,2
91228;Évry-Courcouronnes;35,4
69259;Vénissieux;36,2
94041;Ivry-sur-Seine;36,6
26362;Valence;41,5
92024;Clichy;36,6
29232;Quimper;43,2
92002;Antony;40
18033;Bourges;43,1
83126;La Seyne-sur-Mer;45,1
82121;Montauban;42,6
59009;Villeneuve-d'Ascq;37,2
973302;Cayenne;
93007;Le Blanc-Mesnil;35,5
10387;Troyes;39,4
93055;Pantin;36,2
94076;Villejuif;37,7
73065;Chambéry;40,2
79191;Niort;43,2
83061;Fréjus;46,6
92051;Neuilly-sur-Seine;43,2
95585;Sarcelles;35,8
974409;Saint-André;
92023;Clamart;40
56121;Lorient;43,1
11262;Narbonne;44,8
93008;Bobigny;35
77284;Meaux;36,6
94046;Maisons-Alfort;39
83069;Hyères;48
56260;Vannes;44,8
60057;Beauvais;39,5
974414;Saint-Louis;
85191;La Roche-sur-Yon;42,5
77108;Chelles;38,6
91174;Corbeil-Essonnes;34,8
973311;Saint-Laurent-du-Maroni;
49099;Cholet;42,9
64102;Bayonne;42,8
94033;Fontenay-sous-Bois;39,1
93070;Saint-Ouen-sur-Seine;36,2
06027;Cagnes-sur-Mer;46,3
69256;Vaulx-en-Velin;34,5
93031;Épinay-sur-Seine;35,6
02691;Saint-Quentin;41,8
78586;Sartrouville;39,2
93071;Sevran;36,1
13004;Arles;44,1
91377;Massy;36,8
81004;Albi;45,2
971101;Les Abymes;
92036;Gennevilliers;36,2
44162;Saint-Herblain;39,6
06069;Grasse;42,6
93010;Bondy;36,9
85194;Les Sables-d'Olonne;52,9
53130;Laval;41,8
27229;Évreux;39,3
69290;Saint-Priest;38,1
92073;Suresnes;38,1
13056;Martigues;43
94080;Vincennes;39,8
13005;Aubagne;43
35288;Saint-Malo;49,3
