Code commune;Nom de la commune;restaurants;bars;restaurants_pour_1000;bars_pour_1000
13055;Marseille;1613.0;621.0;1.82;0.7
69123;Lyon;2135.0;822.0;4.11;1.58
75056;Paris;11670.0;4572.0;5.55;2.17
31555;Toulouse;1390.0;456.0;2.7;0.89
06088;Nice;1124.0;373.0;3.14;1.04
44109;Nantes;843.0;412.0;2.57;1.26
34172;Montpellier;970.0;300.0;3.13;0.97
67482;Strasbourg;859.0;272.0;2.92;0.93
33063;Bordeaux;1128.0;428.0;4.21;1.6
59350;Lille;917.0;520.0;3.85;2.18
35238;Rennes;538.0;269.0;2.33;1.17
83137;Toulon;292.0;118.0;1.63;0.66
51454;Reims;316.0;93.0;1.78;0.52
42218;Saint-Étienne;376.0;186.0;2.17;1.07
76351;Le Havre;313.0;141.0;1.88;0.85
69266;Villeurbanne;282.0;62.0;1.72;0.38
21231;Dijon;427.0;165.0;2.64;1.02
49007;Angers;372.0;170.0;2.34;1.07
38185;Grenoble;715.0;285.0;4.58;1.83
974411;Saint-Denis;;;;
30189;Nîmes;321.0;109.0;2.11;0.72
13001;Aix-en-Provence;481.0;136.0;3.21;0.91
93066;Saint-Denis;208.0;60.0;1.4;0.4
63113;Clermont-Ferrand;438.0;203.0;2.99;1.39
72181;Le Mans;254.0;139.0;1.74;0.95
29019;Brest;320.0;167.0;2.25;1.17
37261;Tours;402.0;199.0;2.89;1.43
80021;Amiens;293.0;155.0;2.15;1.14
74010;Annecy;391.0;116.0;2.96;0.88
87085;Limoges;331.0;152.0;2.55;1.17
57463;Metz;406.0;147.0;3.31;1.2
66136;Perpignan;283.0;78.0;2.33;0.64
92012;Boulogne-Billancourt;369.0;56.0;3.1;0.47
25056;Besançon;287.0;119.0;2.42;1.0
76540;Rouen;434.0;217.0;3.69;1.84
45234;Orléans;279.0;117.0;2.4;1.01
93048;Montreuil;225.0;75.0;2.01;0.67
14118;Caen;371.0;160.0;3.39;1.46
974415;Saint-Paul;;;;
95018;Argenteuil;73.0;25.0;0.69;0.24
68224;Mulhouse;152.0;50.0;1.45;0.48
54395;Nancy;414.0;153.0;3.99;1.48
59599;Tourcoing;94.0;32.0;0.95;0.32
59512;Roubaix;122.0;38.0;1.24;0.39
92050;Nanterre;174.0;43.0;1.78;0.44
94081;Vitry-sur-Seine;73.0;26.0;0.78;0.28
92004;Asnières-sur-Seine;118.0;35.0;1.26;0.37
94028;Créteil;98.0;10.0;1.05;0.11
84007;Avignon;399.0;91.0;4.33;0.99
92025;Colombes;96.0;19.0;1.05;0.21
86194;Poitiers;187.0;72.0;2.08;0.8
93001;Aubervilliers;116.0;60.0;1.31;0.68
93005;Aulnay-sous-Bois;53.0;18.0;0.61;0.21
59183;Dunkerque;228.0;101.0;2.64;1.17
974416;Saint-Pierre;;;;
78646;Versailles;222.0;66.0;2.64;0.78
92026;Courbevoie;175.0;41.0;2.11;0.49
92063;Rueil-Malmaison;114.0;23.0;1.38;0.28
974422;Le Tampon;;;;
34032;Béziers;131.0;32.0;1.61;0.39
64445;Pau;267.0;114.0;3.32;1.42
17300;La Rochelle;320.0;136.0;4.01;1.7
50129;Cherbourg-en-Cotentin;106.0;71.0;1.35;0.91
33281;Mérignac;128.0;16.0;1.64;0.2
94017;Champigny-sur-Marne;107.0;15.0;1.37;0.19
06004;Antibes;340.0;110.0;4.38;1.42
94068;Saint-Maur-des-Fossés;162.0;37.0;2.12;0.48
2A004;Ajaccio;138.0;71.0;1.81;0.93
972209;Fort-de-France;;;;
44184;Saint-Nazaire;129.0;55.0;1.73;0.74
06029;Cannes;320.0;81.0;4.3;1.09
93051;Noisy-le-Grand;92.0;18.0;1.26;0.25
93029;Drancy;62.0;52.0;0.86;0.72
95127;Cergy;83.0;17.0;1.17;0.24
92044;Levallois-Perret;176.0;44.0;2.58;0.65
92040;Issy-les-Moulineaux;164.0;25.0;2.42;0.37
62193;Calais;82.0;46.0;1.21;0.68
33318;Pessac;94.0;19.0;1.4;0.28
68066;Colmar;183.0;58.0;2.73;0.87
