Code commune;Nom de la commune;dep_tx_chomage_24
13055;Marseille;8,5
69123;Lyon;6,5
75056;Paris;5,7
31555;Toulouse;7,6
06088;Nice;6,8
44109;Nantes;5,6
34172;Montpellier;10,2
67482;Strasbourg;6,5
33063;Bordeaux;6,8
59350;Lille;9,6
35238;Rennes;5,8
83137;Toulon;7,2
51454;Reims;7,3
42218;Saint-Étienne;7,6
76351;Le Havre;8
69266;Villeurbanne;6,5
21231;Dijon;5,8
49007;Angers;6,4
38185;Grenoble;6
974411;Saint-Denis;17,3
30189;Nîmes;9,9
13001;Aix-en-Provence;8,5
93066;Saint-Denis;10,3
63113;Clermont-Ferrand;6,4
72181;Le Mans;7,3
29019;Brest;6,2
37261;Tours;6,6
80021;Amiens;8,4
74010;Annecy;5,5
87085;Limoges;6,8
57463;Metz;7,2
66136;Perpignan;12,2
92012;Boulogne-Billancourt;6
25056;Besançon;6,9
76540;Rouen;8
45234;Orléans;7,4
93048;Montreuil;10,3
14118;Caen;6,6
974415;Saint-Paul;17,3
95018;Argenteuil;8
68224;Mulhouse;7,2
54395;Nancy;7
59599;Tourcoing;9,6
59512;Roubaix;9,6
92050;Nanterre;6
94081;Vitry-sur-Seine;7,3
92004;Asnières-sur-Seine;6
94028;Créteil;7,3
84007;Avignon;9,7
92025;Colombes;6
86194;Poitiers;6,3
93001;Aubervilliers;10,3
93005;Aulnay-sous-Bois;10,3
59183;Dunkerque;9,6
974416;Saint-Pierre;17,3
78646;Versailles;6,5
92026;Courbevoie;6
92063;Rueil-Malmaison;6
974422;Le Tampon;17,3
34032;Béziers;10,2
64445;Pau;5,7
17300;La Rochelle;6,9
50129;Cherbourg-en-Cotentin;5,3
33281;Mérignac;6,8
94017;Champigny-sur-Marne;7,3
06004;Antibes;6,8
94068;Saint-Maur-des-Fossés;7,3
2A004;Ajaccio;6,1
972209;Fort-de-France;12,3
44184;Saint-Nazaire;5,6
06029;Cannes;6,8
93051;Noisy-le-Grand;10,3
93029;Drancy;10,3
95127;Cergy;8
92044;Levallois-Perret;6
92040;Issy-les-Moulineaux;6
62193;Calais;8,5
33318;Pessac;6,8
68066;Colmar;7,2
91228;Évry-Courcouronnes;6,5
69259;Vénissieux;6,5
94041;Ivry-sur-Seine;7,3
26362;Valence;7,9
92024;Clichy;6
29232;Quimper;6,2
92002;Antony;6
18033;Bourges;7,1
83126;La Seyne-sur-Mer;7,2
82121;Montauban;8,6
59009;Villeneuve-d'Ascq;9,6
973302;Cayenne;16,9
93007;Le Blanc-Mesnil;10,3
10387;Troyes;9,7
93055;Pantin;10,3
94076;Villejuif;7,3
73065;Chambéry;5,3
79191;Niort;5,5
83061;Fréjus;7,2
92051;Neuilly-sur-Seine;6
95585;Sarcelles;8
974409;Saint-André;17,3
92023;Clamart;6
56121;Lorient;5,8
11262;Narbonne;10,3
93008;Bobigny;10,3
77284;Meaux;6,9
94046;Maisons-Alfort;7,3
83069;Hyères;7,2
56260;Vannes;5,8
60057;Beauvais;7,4
974414;Saint-Louis;17,3
85191;La Roche-sur-Yon;5,4
77108;Chelles;6,9
91174;Corbeil-Essonnes;6,5
973311;Saint-Laurent-du-Maroni;16,9
49099;Cholet;6,4
64102;Bayonne;5,7
94033;Fontenay-sous-Bois;7,3
93070;Saint-Ouen-sur-Seine;10,3
06027;Cagnes-sur-Mer;6,8
69256;Vaulx-en-Velin;6,5
93031;Épinay-sur-Seine;10,3
02691;Saint-Quentin;10,5
78586;Sartrouville;6,5
93071;Sevran;10,3
13004;Arles;8,5
91377;Massy;6,5
81004;Albi;7,9
971101;Les Abymes;16,8
92036;Gennevilliers;6
44162;Saint-Herblain;5,6
06069;Grasse;6,8
93010;Bondy;10,3
85194;Les Sables-d'Olonne;5,4
53130;Laval;5,1
27229;Évreux;7,1
69290;Saint-Priest;6,5
92073;Suresnes;6
13056;Martigues;8,5
94080;Vincennes;7,3
13005;Aubagne;8,5
35288;Saint-Malo;5,8
93046;Livry-Gargan;10,3
41018;Blois;6,2
93064;Rosny-sous-Bois;10,3
93027;La Courneuve;10,3
19031;Brive-la-Gaillarde;5,9
2B033;Bastia;6,8
33522;Talence;6,8
92048;Meudon;6
92049;Montrouge;6
30007;Alès;9,9
11069;Carcassonne;10,3
77288;Melun;6,9
94022;Choisy-le-Roi;7,3
78551;Saint-Germain-en-Laye;6,5
90010;Belfort;8,8
08105;Charleville-Mézières;9,8
94002;Alfortville;7,3
93053;Noisy-le-Sec;10,3
34301;Sète;10,2
71076;Chalon-sur-Saône;6,6
92007;Bagneux;6
65440;Tarbes;7,7
22278;Saint-Brieuc;6,2
13047;Istres;8,5
13103;Salon-de-Provence;8,5
92062;Puteaux;6
69034;Caluire-et-Cuire;6,5
44143;Rezé;5,6
78361;Mantes-la-Jolie;6,5
59606;Valenciennes;9,6
64024;Anglet;5,7
93006;Bagnolet;10,3
69029;Bron;6,5
51108;Châlons-en-Champagne;7,3
36044;Châteauroux;6,9
62041;Arras;8,5
57672;Thionville;7,2
33550;Villenave-d'Ornon;6,8
81065;Castres;7,9
01053;Bourg-en-Bresse;5,6
93032;Gagny;10,3
06030;Le Cannet;6,8
16015;Angoulême;7,4
95268;Garges-lès-Gonesse;8
93078;Villepinte;10,3
93072;Stains;10,3
05061;Gap;6,2
78498;Poissy;6,5
31149;Colomiers;7,6
59650;Wattrelos;9,6
83050;Draguignan;7,2
60159;Compiègne;7,4
26198;Montélimar;7,9
62160;Boulogne-sur-Mer;8,5
59178;Douai;9,6
59378;Marcq-en-Barœul;9,6
93050;Neuilly-sur-Marne;10,3
972213;Le Lamentin;12,3
974412;Saint-Joseph;17,3
77373;Pontault-Combault;6,9
974410;Saint-Benoît;17,3
13028;La Ciotat;8,5
37122;Joué-lès-Tours;6,6
93073;Tremblay-en-France;10,3
28085;Chartres;6,9
69149;Oullins-Pierre-Bénite;6,5
74281;Thonon-les-Bains;5,5
95252;Franconville;8
38421;Saint-Martin-d'Hères;6
74012;Annemasse;5,5
91589;Savigny-sur-Orge;6,5
38151;Échirolles;6
91477;Palaiseau;6,5
93063;Romainville;10,3
83118;Saint-Raphaël;7,2
83129;Six-Fours-les-Plages;7,2
974418;Sainte-Marie;17,3
78172;Conflans-Sainte-Honorine;6,5
13117;Vitrolles;8,5
92020;Châtillon;6
69282;Meyzieu;6,5
91027;Athis-Mons;6,5
974408;La Possession;17,3
973307;Matoury;16,9
95063;Bezons;8
67180;Haguenau;6,5
60175;Creil;7,4
94078;Villeneuve-Saint-Georges;7,3
69264;Villefranche-sur-Saône;6,5
974413;Saint-Leu;17,3
92019;Châtenay-Malabry;6
42207;Saint-Chamond;7,6
91549;Sainte-Geneviève-des-Bois;6,5
42187;Roanne;7,6
94058;Le Perreux-sur-Marne;7,3
71270;Mâcon;6,6
89024;Auxerre;7,2
67447;Schiltigheim;6,5
78621;Trappes;6,5
78440;Les Mureaux;6,5
78311;Houilles;6,5
974407;Le Port;17,3
13054;Marignane;8,5
26281;Romans-sur-Isère;7,9
94079;Villiers-sur-Marne;7,3
03185;Montluçon;7,9
58194;Nevers;6,8
62498;Lens;8,5
94073;Thiais;7,3
33449;Saint-Médard-en-Jalles;6,8
47001;Agen;7,3
78423;Montigny-le-Bretonneux;6,5
94052;Nogent-sur-Marne;7,3
73008;Aix-les-Bains;5,3
88160;Épinal;7,7
06123;Saint-Laurent-du-Var;6,8
95500;Pontoise;8
33039;Bègles;6,8
78490;Plaisir;6,5
95306;Herblay-sur-Seine;8
38544;Vienne;6
84031;Carpentras;9,7
40192;Mont-de-Marsan;6,7
28134;Dreux;6,9
91657;Vigneux-sur-Seine;6,5
69286;Rillieux-la-Pape;6,5
95280;Goussainville;8
91521;Ris-Orangis;6,5
94038;L' Haÿ-les-Roses;7,3
978801;Saint-Martin;
77445;Savigny-le-Temple;6,9
59122;Cambrai;9,6
94016;Cachan;7,3
86066;Châtellerault;6,3
971103;Baie-Mahault;16,8
91687;Viry-Châtillon;6,5
78158;Le Chesnay-Rocquencourt;6,5
06083;Menton;6,8
78146;Chatou;6,5
92046;Malakoff;6
92035;La Garenne-Colombes;6
31557;Tournefeuille;7,6
38053;Bourgoin-Jallieu;6
91201;Draveil;6,5
62510;Liévin;8,5
95680;Villiers-le-Bel;8
54547;Vandœuvre-lès-Nancy;7
34003;Agde;10,2
69275;Décines-Charpieu;6,5
92064;Saint-Cloud;6
93077;Villemomble;10,3
78297;Guyancourt;6,5
84087;Orange;9,7
94034;Fresnes;7,3
76575;Saint-Étienne-du-Rouvray;8
95219;Ermont;8
93014;Clichy-sous-Bois;10,3
06155;Vallauris;6,8
24322;Périgueux;7,1
76681;Sotteville-lès-Rouen;8
92009;Bois-Colombes;6
92060;Le Plessis-Robinson;6
94018;Charenton-le-Pont;7,3
59392;Maubeuge;9,6
93047;Montfermeil;10,3
92075;Vanves;6
44190;Saint-Sébastien-sur-Loire;5,6
44114;Orvault;5,6
76217;Dieppe;8
02722;Soissons;10,5
91691;Yerres;6,5
67218;Illkirch-Graffenstaden;6,5
94071;Sucy-en-Brie;7,3
971113;Le Gosier;16,8
78517;Rambouillet;6,5
973309;Remire-Montjoly;16,9
95277;Gonesse;8
31069;Blagnac;7,6
95607;Taverny;8
33529;La Teste-de-Buch;6,8
77058;Bussy-Saint-Georges;6,9
77083;Champs-sur-Marne;6,9
94044;Limeil-Brévannes;7,3
95176;Cormeilles-en-Parisis;8
24037;Bergerac;7,1
89387;Sens;7,2
59328;Lambersart;9,6
59017;Armentières;9,6
33192;Gradignan;6,8
77514;Villeparisis;6,9
95582;Sannois;8
91223;Étampes;6,5
91286;Grigny;6,5
33119;Cenon;6,8
91103;Brétigny-sur-Orge;6,5
34145;Lunel;10,2
83062;La Garde;7,2
78208;Élancourt;6,5
49328;Saumur;6,4
44215;Vertou;5,6
15014;Aurillac;4,2
95203;Eaubonne;8
64122;Biarritz;5,7
13063;Miramas;8,5
31395;Muret;7,6
34057;Castelnau-le-Lez;10,2
92078;Villeneuve-la-Garenne;6
91692;Les Ulis;6,5
93057;Les Pavillons-sous-Bois;10,3
49301;Sèvremoine;6,4
76322;Le Grand-Quevilly;8
33249;Lormont;6,8
62427;Hénin-Beaumont;8,5
91114;Brunoy;6,5
84035;Cavaillon;9,7
95572;Saint-Ouen-l'Aumône;8
974420;Sainte-Suzanne;17,3
61001;Alençon;6,9
17415;Saintes;6,9
27681;Vernon;7,1
62119;Béthune;8,5
03310;Vichy;7,9
33069;Le Bouscat;6,8
18279;Vierzon;7,1
33243;Libourne;6,8
33162;Eysines;6,8
973304;Kourou;16,9
25388;Montbéliard;6,9
971118;Petit-Bourg;16,8
94054;Orly;7,3
02408;Laon;10,5
34108;Frontignan;10,2
94043;Le Kremlin-Bicêtre;7,3
44047;Couëron;5,6
92032;Fontenay-aux-Roses;6
91421;Montgeron;6,5
49023;Beaupréau-en-Mauges;6,4
12202;Rodez;5,6
971128;Sainte-Anne;16,8
93045;Les Lilas;10,3
39198;Dole;5,3
83144;La Valette-du-Var;7,2
77152;Dammarie-les-Lys;6,9
45232;Olivet;7,4
14327;Hérouville-Saint-Clair;6,6
17299;Rochefort;6,9
77122;Combs-la-Ville;6,9
56098;Lanester;5,8
77390;Roissy-en-Brie;6,9
69244;Tassin-la-Demi-Lune;6,5
45284;Saint-Jean-de-Braye;7,4
95197;Deuil-la-Barre;8
78358;Maisons-Laffitte;6,5
971117;Le Moule;16,8
78640;Vélizy-Villacoublay;6,5
85047;Challans;5,4
52448;Saint-Dizier;6,6
77468;Torcy;6,9
68297;Saint-Louis;7,2
04112;Manosque;7,9
59360;Loos;9,6
91272;Gif-sur-Yvette;6,5
13071;Les Pennes-Mirabeau;8,5
01283;Oyonnax;5,6
95424;Montigny-lès-Cormeilles;8
32013;Auch;5,6
80001;Abbeville;8,4
47323;Villeneuve-sur-Lot;7,3
78362;Mantes-la-Ville;6,5
92072;Sèvres;6
77305;Montereau-Fault-Yonne;6,9
78005;Achères;6,5
76498;Le Petit-Quevilly;8
94003;Arcueil;7,3
51230;Épernay;7,3
33199;Gujan-Mestras;6,8
40088;Dax;6,7
12145;Millau;5,6
38169;Fontaine;6
