Code commune ;Nom de la commune;Population municipale;nb_lieux_culturels;nb_types_differents;nb_lieux_culturel_par_1000_habitants
75056;Paris;2 103 778;2187;8;1,04
13055;Marseille;886 040;205;7;0,23
69123;Lyon;519 127;315;5;0,61
31555;Toulouse;514 819;291;8;0,57
06088;Nice;357 737;108;5;0,3
44109;Nantes;327 734;147;5;0,45
34172;Montpellier;310 240;152;8;0,49
67482;Strasbourg;293 771;270;8;0,92
33063;Bordeaux;267 991;415;7;1,55
59350;Lille;238 246;226;7;0,95
35238;Rennes;230 890;117;8;0,51
83137;Toulon;179 116;39;5;0,22
51454;Reims;177 674;88;6;0,5
42218;Saint-Étienne;173 136;56;6;0,32
76351;Le Havre;166 687;51;5;0,31
69266;Villeurbanne;163 684;11;5;0,07
21231;Dijon;161 830;236;6;1,46
49007;Angers;159 022;113;5;0,71
38185;Grenoble;156 140;68;6;0,44
974411;Saint-Denis;155 634;;;
30189;Nîmes;151 839;113;5;0,74
13001;Aix-en-Provence;149 695;185;5;1,24
93066;Saint-Denis;149 077;30;4;0,2
63113;Clermont-Ferrand;146 351;199;6;1,36
72181;Le Mans;146 249;98;5;0,67
29019;Brest;142 346;16;5;0,11
37261;Tours;139 259;190;5;1,36
80021;Amiens;136 449;78;5;0,57
74010;Annecy;132 117;44;5;0,33
87085;Limoges;129 937;91;6;0,7
57463;Metz;122 572;137;5;1,12
66136;Perpignan;121 616;61;4;0,5
92012;Boulogne-Billancourt;119 019;29;4;0,24
25056;Besançon;118 489;219;5;1,85
76540;Rouen;117 662;256;6;2,18
45234;Orléans;116 357;197;6;1,69
93048;Montreuil;111 934;11;5;0,1
14118;Caen;109 400;103;5;0,94
974415;Saint-Paul;108 088;;;
95018;Argenteuil;106 130;7;4;0,07
68224;Mulhouse;104 978;56;5;0,53
54395;Nancy;103 671;285;7;2,75
59599;Tourcoing;98 772;29;4;0,29
59512;Roubaix;98 286;48;5;0,49
92050;Nanterre;97 783;9;5;0,09
94081;Vitry-sur-Seine;93 963;6;3;0,06
92004;Asnières-sur-Seine;93 941;7;3;0,07
94028;Créteil;93 397;8;4;0,09
84007;Avignon;92 188;186;5;2,02
