Nom de la commune;code commune;Agriculture, sylviculture et pêche;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;Cokéfaction et raffinage;Fabrication d’équipements électriques, électroniques, informatiques : fabrication de machines;Fabrication de matériels de transport;Fabrication d’autres produits industriels;Industries extractives, énergie, eau, gestion des déchets et dépollution;Construction;Commerce : réparation d'automobiles et de motocycles;Transports et entreposage;Hébergement et restauration;Information et communication;Activités financières et d'assurance;Activités immobilières;Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien;Administration publique, enseignement, santé humaine et action sociale;Autres activités de services
Marseille;13055;28;577;0;57;12;546;135;3 298;6 222;1 069;3 392;1 053;1 369;944;5 625;4 186;3 133
Lyon;69123;21;395;2;36;7;377;108;1 104;4 468;429;3 206;1 828;1 572;934;7 116;2 798;2 915
Paris;75056;112;1 768;0;169;31;2 532;355;8 561;27 316;3 115;20 095;17 523;9 459;7 326;58 811;12 676;18 153
Toulouse;31555;20;252;1;69;31;343;101;1 437;3 306;404;2 077;1 002;1 005;730;4 287;2 288;2 259
Nice;06088;27;253;0;12;5;217;50;1 850;3 050;512;2 025;419;700;791;3 197;1 826;1 393
Nantes;44109;13;166;0;21;9;138;58;484;1 712;221;1 294;823;688;374;2 678;1 461;1 578
Montpellier;34172;56;160;0;29;4;137;53;1 182;1 915;216;1 479;644;507;422;2 331;1 554;1 521
Strasbourg;67482;11;205;0;19;4;147;58;640;1 873;317;1 400;433;564;387;2 083;1 778;1 457
Bordeaux;33063;17;204;0;18;6;190;44;674;2 511;215;1 846;825;893;624;3 158;1 632;1 575
Lille;59350;5;131;0;14;2;101;34;469;1 918;269;1 593;660;512;349;2 013;1 342;1 233
Rennes;35238;11;109;0;11;4;78;39;379;1 377;115;896;458;471;270;1 917;1 054;1 293
Toulon;83137;13;93;0;3;2;70;25;560;860;109;601;96;234;152;802;786;541
Reims;51454;39;127;0;17;6;116;31;398;1 113;187;585;139;338;147;1 016;811;631
Saint-Étienne;42218;7;117;0;26;8;234;28;551;1 180;130;573;187;309;149;1 163;818;660
Le Havre;76351;9;106;0;9;4;102;34;277;883;344;559;85;232;123;777;696;499
Villeurbanne;69266;3;74;0;16;9;103;30;546;679;115;416;265;205;68;1 035;557;481
Dijon;21231;12;109;0;14;2;79;44;302;1 008;138;629;170;378;160;993;911;774
Angers;49007;9;106;0;5;4;64;17;204;1 027;58;630;182;290;183;1 003;804;782
Grenoble;38185;4;109;0;46;5;78;20;412;1 101;74;863;317;311;190;1 227;825;846
Saint-Denis;974411;;;;;;;;;;;;;;;;;
Nîmes;30189;74;99;0;16;4;152;52;636;1 414;156;622;140;335;178;1 074;836;682
Aix-en-Provence;13001;60;125;0;29;8;153;45;565;1 702;154;828;465;508;272;1 968;973;725
Saint-Denis;93066;1;92;0;6;4;54;33;803;898;346;516;268;133;86;800;475;397
Clermont-Ferrand;63113;17;77;0;25;1;116;34;359;1 152;126;732;217;323;151;1 081;750;717
Le Mans;72181;8;92;0;15;11;112;23;258;865;109;457;136;298;109;892;766;655
Brest;29019;7;69;0;17;10;68;18;244;873;72;497;136;217;117;683;593;515
Tours;37261;10;73;0;6;0;73;26;210;982;89;675;199;323;160;909;715;653
Amiens;80021;14;66;1;10;5;78;21;224;768;106;456;109;201;108;632;734;616
Annecy;74010;15;98;0;34;7;159;19;584;1 315;134;606;197;340;222;1 185;602;594
Limoges;87085;47;85;0;24;4;136;34;321;1 024;111;518;102;271;140;849;712;592
Metz;57463;10;66;0;11;6;59;26;404;992;119;611;165;275;155;876;808;553
Perpignan;66136;53;76;0;15;7;113;27;479;1 434;173;543;115;292;162;992;701;541
Boulogne-Billancourt;92012;7;58;0;8;5;59;21;340;963;104;539;862;403;248;2 162;516;478
Besançon;25056;18;81;0;29;6;81;14;173;851;68;390;115;251;114;697;768;633
Rouen;76540;5;94;1;2;3;57;20;245;1 084;146;820;150;292;183;943;813;683
Orléans;45234;12;63;0;10;0;31;14;242;669;103;455;165;240;134;713;665;585
Montreuil;93048;3;69;0;9;1;124;12;733;658;214;428;408;144;83;913;447;615
Caen;14118;5;99;0;4;2;31;13;186;701;50;575;157;275;173;843;723;653
Saint-Paul;974415;;;;;;;;;;;;;;;;;
Argenteuil;95018;6;62;0;22;1;64;21;739;598;231;245;124;66;53;423;276;195
Mulhouse;68224;1;59;0;12;0;51;7;301;723;56;413;106;173;113;685;609;415
Nancy;54395;8;72;0;1;1;48;14;145;781;73;623;147;285;173;735;671;557
Tourcoing;59599;1;39;0;9;1;84;5;240;404;70;188;86;83;50;329;337;207
Roubaix;59512;1;55;0;12;3;83;8;242;584;60;269;122;133;53;369;396;255
Nanterre;92050;2;50;2;16;4;37;35;350;495;165;314;314;139;58;691;365;248
Vitry-sur-Seine;94081;3;45;0;10;1;40;17;371;379;179;194;94;52;34;316;224;178
Asnières-sur-Seine;92004;0;58;0;5;1;34;8;309;445;133;252;238;108;90;773;288;241
Créteil;94028;0;32;0;9;1;27;9;261;494;148;230;98;79;56;444;375;240
Avignon;84007;47;93;0;13;4;82;32;397;1 070;166;577;118;250;105;800;629;587
Colombes;92025;4;43;0;6;3;33;3;248;329;101;183;224;79;52;442;236;197
Poitiers;86194;2;45;0;8;2;39;20;128;678;62;320;71;213;91;470;507;521
Aubervilliers;93001;0;54;1;3;0;90;18;470;1 711;159;295;91;40;77;370;234;222
Aulnay-sous-Bois;93005;1;34;0;11;1;46;5;699;495;259;205;77;68;54;296;271;191
Dunkerque;59183;17;55;1;1;1;84;26;151;521;106;327;34;131;65;386;433;303
Saint-Pierre;974416;;;;;;;;;;;;;;;;;
Versailles;78646;2;46;0;8;3;25;4;181;549;70;354;203;188;134;1 075;435;395
Courbevoie;92026;3;42;1;19;1;37;41;177;507;70;346;445;256;93;1 100;288;272
Rueil-Malmaison;92063;1;47;3;10;0;21;6;222;431;64;237;245;126;72;640;250;222
Le Tampon;974422;;;;;;;;;;;;;;;;;
Béziers;34032;82;52;0;9;2;85;23;429;898;78;318;39;180;101;517;411;306
