Nom de la commune;Code commune;Salaire_2022;Salaire_2023;Salaire_evol
Marseille;13055;2 609;2 711;0,039
Lyon;69123;2 914;3 038;0,043
Paris;75056;3 727;3 863;0,036
Toulouse;31555;2 808;2 908;0,036
Nice;06088;2 445;2 534;0,036
Nantes;44109;2 693;2 816;0,046
Montpellier;34172;2 566;2 674;0,042
Strasbourg;67482;2 493;2 602;0,044
Bordeaux;33063;2 564;2 680;0,045
Lille;59350;2 593;2 696;0,04
Rennes;35238;2 600;2 720;0,046
Toulon;83137;2 357;2 462;0,045
Reims;51454;2 479;2 596;0,047
Saint-Étienne;42218;2 485;2 601;0,047
Le Havre;76351;2 501;2 596;0,038
Villeurbanne;69266;2 719;2 826;0,039
Dijon;21231;2 438;2 530;0,038
Angers;49007;2 382;2 464;0,034
Grenoble;38185;2 914;3 039;0,043
Saint-Denis;974411;;;
Nîmes;30189;2 225;2 316;0,041
Aix-en-Provence;13001;2 706;2 809;0,038
Saint-Denis;93066;3 319;3 409;0,027
Clermont-Ferrand;63113;2 728;2 800;0,026
Le Mans;72181;2 377;2 470;0,039
Brest;29019;2 448;2 555;0,044
Tours;37261;2 483;2 595;0,045
Amiens;80021;2 354;2 475;0,051
Annecy;74010;2 541;2 646;0,041
Limoges;87085;2 316;2 409;0,04
Metz;57463;2 389;2 480;0,038
Perpignan;66136;2 220;2 325;0,047
Boulogne-Billancourt;92012;3 993;4 100;0,027
Besançon;25056;2 324;2 436;0,048
Rouen;76540;2 473;2 564;0,037
Orléans;45234;2 363;2 447;0,036
Montreuil;93048;3 026;3 159;0,044
Caen;14118;2 426;2 537;0,046
Saint-Paul;974415;;;
Argenteuil;95018;2 514;2 557;0,017
Mulhouse;68224;2 305;2 403;0,043
Nancy;54395;2 413;2 509;0,04
Tourcoing;59599;2 219;2 258;0,018
Roubaix;59512;2 472;2 543;0,029
Nanterre;92050;3 574;3 775;0,056
Vitry-sur-Seine;94081;2 684;2 821;0,051
Asnières-sur-Seine;92004;2 897;2 999;0,035
Créteil;94028;2 679;2 764;0,032
Avignon;84007;2 402;2 516;0,047
Colombes;92025;3 738;3 852;0,03
Poitiers;86194;2 244;2 358;0,051
Aubervilliers;93001;2 784;2 906;0,044
Aulnay-sous-Bois;93005;2 385;2 450;0,027
Dunkerque;59183;2 419;2 527;0,045
Saint-Pierre;974416;;;
Versailles;78646;2 857;2 940;0,029
Courbevoie;92026;4 910;5 049;0,028
Rueil-Malmaison;92063;4 277;4 400;0,029
Le Tampon;974422;;;
Béziers;34032;2 180;2 270;0,041
Pau;64445;2 674;2 770;0,036
La Rochelle;17300;2 371;2 462;0,038
Cherbourg-en-Cotentin;50129;2 338;2 474;0,058
Mérignac;33281;2 763;2 856;0,034
Champigny-sur-Marne;94017;2 350;2 466;0,049
Antibes;06004;2 341;2 416;0,032
Saint-Maur-des-Fossés;94068;2 509;2 579;0,028
Ajaccio;2A004;2 446;2 527;0,033
Fort-de-France;972209;;;
Saint-Nazaire;44184;2 448;2 558;0,045
Cannes;06029;2 527;2 636;0,043
Noisy-le-Grand;93051;2 879;2 913;0,012
Drancy;93029;2 232;2 289;0,026
Cergy;95127;2 965;3 037;0,024
Levallois-Perret;92044;4 053;4 162;0,027
