city;image_url
Boulogne-Billancourt;https://upload.wikimedia.org/wikipedia/commons/5/5f/View_on_Boulogne-Billancourt_from_Parc_de_Saint-Cloud_140411_1.jpg?uselang=fr
Montrouge;https://upload.wikimedia.org/wikipedia/commons/8/8f/Blason_ville_fr_Montrouge_%28Hauts-de-Seine%29.svg?uselang=fr
Bagnolet;https://upload.wikimedia.org/wikipedia/fr/thumb/b/b2/Logo_Bagnolet_-_2024.svg/langfr-960px-Logo_Bagnolet_-_2024.svg.png
Saint-Chamond;https://upload.wikimedia.org/wikipedia/commons/7/79/Saint_Chamond_Paysage.jpg?uselang=fr
Romans-sur-Isère;https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Romans_sur_Is%C3%A8re_%28cropped%29.JPG/960px-Romans_sur_Is%C3%A8re_%28cropped%29.JPG
L' Haÿ-les-Roses;https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/H%C3%B4tel_Ville_-_L%27Ha%C3%BF-les-Roses_%28FR94%29_-_2022-05-20_-_1.jpg/960px-H%C3%B4tel_Ville_-_L%27Ha%C3%BF-les-Roses_%28FR94%29_-_2022-05-20_-_1.jpg
Saint-Martin;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Coat_of_arms_of_Saint_Martin.svg/langfr-960px-Coat_of_arms_of_Saint_Martin.svg.png
Bussy-Saint-Georges;https://upload.wikimedia.org/wikipedia/commons/1/10/Panoramiquenouvelleplace2.jpg
Villeneuve-le-Roi;https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Panorama_Mairie_de_Villeneuve-leRoi.JPG/960px-Panorama_Mairie_de_Villeneuve-leRoi.JPG
L'Isle-sur-la-Sorgue;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/L%27Isle-sur-la-Sorgue_%281%29.jpg/960px-L%27Isle-sur-la-Sorgue_%281%29.jpg
Saint-Denis (La Réunion);https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/SaintDenisReunion005.JPG/500px-SaintDenisReunion005.JPG
Saint-Denis (Seine-Saint-Denis);https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Saint-Denis_Basilique_Saint-Denis_Fassade_1.jpg/500px-Saint-Denis_Basilique_Saint-Denis_Fassade_1.jpg
Saint-Denis (La Réunion);https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/SaintDenisReunion005.JPG/500px-SaintDenisReunion005.JPG
Saint-Denis (Seine-Saint-Denis);https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Saint-Denis_Basilique_Saint-Denis_Fassade_1.jpg/500px-Saint-Denis_Basilique_Saint-Denis_Fassade_1.jpg
Montreuil (Seine-Saint-Denis);https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/H%C3%B4tel_ville_Montreuil_Seine_St_Denis_15.jpg/500px-H%C3%B4tel_ville_Montreuil_Seine_St_Denis_15.jpg
Saint-Paul (La Réunion);https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/SaintPaul_Reunion.JPG/500px-SaintPaul_Reunion.JPG
Argenteuil (Val-d'Oise);https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Basilique_d%27Argenteuil_-_chevet.jpg/500px-Basilique_d%27Argenteuil_-_chevet.jpg
Saint-Pierre (La Réunion);https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Saint-Pierre97410h%C3%A9licoptere.jpg/500px-Saint-Pierre97410h%C3%A9licoptere.jpg
Valence (Drôme);https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Valence_-_Esplanade_Champ_de_Mars_-_View_WNW_on_Parc_Jouvet.jpg/500px-Valence_-_Esplanade_Champ_de_Mars_-_View_WNW_on_Parc_Jouvet.jpg
Saint-André (La Réunion);https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/H%C3%B4tel-de-ville-de-Saint-Andr%C3%A9.JPG/500px-H%C3%B4tel-de-ville-de-Saint-Andr%C3%A9.JPG
Saint-Louis (La Réunion);https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/R%C3%A9union-Saint-Louis.png/500px-R%C3%A9union-Saint-Louis.png
Saint-Louis (Haut-Rhin);https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/H%C3%B4tel_de_ville_%28Saint-Louis%29.jpg/500px-H%C3%B4tel_de_ville_%28Saint-Louis%29.jpg
Massy (Essonne);https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Mairie_de_Massy_%28Essonne%29.jpg/500px-Mairie_de_Massy_%28Essonne%29.jpg
Laval (Mayenne);https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Ch%C3%A2teau_Vieux_Laval_2.JPG/500px-Ch%C3%A2teau_Vieux_Laval_2.JPG
Bagneux (Hauts-de-Seine);https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/H%C3%B4tel_ville_Bagneux_Hauts_Seine_2.jpg/500px-H%C3%B4tel_ville_Bagneux_Hauts_Seine_2.jpg
Villepinte (Seine-Saint-Denis);https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/H%C3%B4tel_ville_Villepinte_Seine_St_Denis_2.jpg/500px-H%C3%B4tel_ville_Villepinte_Seine_St_Denis_2.jpg
